observations-whole-capture	v1:sha256:6d8d3728a702849a43892ce3828728f2774985c938aebf86661bfdfd01ffce8c	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"Observations","timeScope":{"kind":"RetainedCapture"}}
bytes-sent-in-an-interval	v1:sha256:4261931feb49e9d5d946bfd520ea5ca3422c04180ee0bbc8cc0bde9028ded245	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"BytesSent","byteDomain":"TransportObserved","accountingSide":"SendSide","timeScope":{"kind":"AnalysisInterval","startTicks":"1200000000","endTicks":"1800000000"}}
requested-io-with-its-domain-implied	v1:sha256:9d2c70759f0a7a605a63d57e1ca8bddb8ccc37364117a191ec49c6a86e5567ed	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"RequestedIoBytes","byteDomain":"RequestedIo","accountingSide":"SendSide","timeScope":{"kind":"RetainedCapture"}}
application-payload-with-its-layer-implied	v1:sha256:283c9bbdfa6c45c1bb68f86a88a3197a27dee029125b54766ea1e396f2d54786	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"ApplicationPayloadBytes","byteDomain":"ApplicationPayload","accountingSide":"ReceiveSide","timeScope":{"kind":"RetainedCapture"},"filter":{"and":[{"facet":"Layer","include":["Application"]}]}}
endpoint-activity-with-its-side-implied	v1:sha256:58f46cce15087a304f49a5bac147c0f3405cda7c33315f05c3bb7518fb88d3d7	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"EndpointActivityBytes","byteDomain":"TransportObserved","accountingSide":"EndpointActivity","timeScope":{"kind":"RetainedCapture"}}
rate-of-received-bytes	v1:sha256:4be900e81de5c7dab551491bec342d8ec26eb8d6c78abd88fa0574a9ba844da9	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"Rate","rateNumerator":"BytesReceived","byteDomain":"TransportObserved","accountingSide":"ReceiveSide","timeScope":{"kind":"AnalysisInterval","startTicks":"0","endTicks":"10000000"}}
observations-by-mechanism	v1:sha256:712e46a3ae3575f7fded5c59b1060e4f97514fa02ac368e3bf570a7777cccb97	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"Observations","timeScope":{"kind":"RetainedCapture"},"grouping":"Mechanism","filter":{"and":[{"facet":"Layer","include":["Transport"]}]}}
sent-bytes-by-process-top-20	v1:sha256:ab3609cbe93792874f55dabc6997ac98a6f9914d6eec3c5fd36dae893a5b6b26	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"entityRevision":"process-binding-v2","correlationRevision":"tcp-endpoint-relation-v1","metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"BytesSent","byteDomain":"TransportObserved","accountingSide":"SendSide","evidencePolicy":"IncludeCorrelated","timeScope":{"kind":"RetainedCapture"},"grouping":"InstanceOnly"}
observations-by-executable-with-candidates	v1:sha256:de53c163095cfa44c4700705d4a85e60723b3e12542ea11be5b9d77ee369e316	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"entityRevision":"process-binding-v2","metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"Observations","evidencePolicy":"IncludeCandidates","timeScope":{"kind":"RetainedCapture"},"grouping":"Executable"}
owner-observations	v1:sha256:6a5ccc443f5a5198c75c2083cd8702221482b549a4ddc363f4eead243fa70163	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"entityRevision":"process-binding-v2","metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"Observations","evidencePolicy":"IncludeCorrelated","timeScope":{"kind":"RetainedCapture"},"filter":{"and":[{"facet":"ProcessInstance","owner":["7f0c5b3d914a42e8b0d61c2fa3845e19"]}]}}
participant-conversation-by-peer	v1:sha256:9b4ceb94cd1c1038db99056d135da93d4512f0060c8eda1640df1a19bf2ec85e	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"entityRevision":"process-binding-v2","correlationRevision":"tcp-endpoint-relation-v1","metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"BytesSent","byteDomain":"TransportObserved","accountingSide":"SendSide","evidencePolicy":"IncludeCorrelated","timeScope":{"kind":"RetainedCapture"},"grouping":"Peer","filter":{"and":[{"facet":"ProcessInstance","participant":["7f0c5b3d914a42e8b0d61c2fa3845e19"]},{"facet":"Mechanism","include":["Tcp"]}]}}
sender-to-one-peer-measured-at-receivers	v1:sha256:8d251168112b1395564462402cf2f4515c39fe52619c8a6ebd1d3f83b11d567e	{"specVersion":1,"snapshotVector":[{"captureId":"9f1c4e0a7b2d4f11a3c6e58d90b7a412","generation":84,"manifest":"sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef"}],"versions":{"normalizerContract":1,"entityRevision":"process-binding-v2","correlationRevision":"tcp-endpoint-relation-v1","metricsContract":"metrics-v1"},"basis":"SourceObservations","metric":"BytesSent","byteDomain":"TransportObserved","accountingSide":"ReceiveSide","evidencePolicy":"IncludeCorrelated","timeScope":{"kind":"RetainedCapture"},"filter":{"and":[{"facet":"ProcessInstance","sender":["7f0c5b3d914a42e8b0d61c2fa3845e19"],"peer":["2b8e4f6a1c3d4e5f9a7b8c9d0e1f2a3b"]}]}}
